Common name;Species name;pathtofile;Site;lat;lng;Country;Study period;Study effort;Objective;Data sources;Effort;Analytical method;Reference;Link to paper
Bar backed partridge;Arborophila brunneopectus;Arborophila_brunneopectus_213_BL;;;;;;;;;;;;
Black partridge;Melanoperdix niger;Melanoperdix_niger_193_BL;;;;;;;;;;;;
Blyth's Tragopan [whole range];Tragopan blythii;Tragopan_blythii_239_BL;Lengteng Wildlife sanctuary ;23.5;93.13;India;2011;2 months;species status;call count;7 vantage point;;Lalthanzara et al 2011 Sci Vis 11: 108-112;
Blyth's Tragopan [whole range];Tragopan blythii;Tragopan_blythii_239_BL;Natmataung National Park;21.23386;93.90256;Myanmar;2014;3 days;species record;bird survey;;;Kim et al 2016 Kor. J. Orni. 23: 49-59;
Blyth's Tragopan [whole range];Tragopan blythii;Tragopan_blythii_239_BL;Blue Mountain National Park ;22.4;93.03;India;1997;41 days;species status;call count;7 vantage point;;Ghose et al 2003 Current Science 84: 95-97;
Bornean crested fireback;Lophura ignita;Lophura_ignita_259_BL;;;;;;;;;;;;
Bornean crestless fireback;Lophura pyronota;NA;;;;;;;;;;;;
Bornean peacock pheasant;Polyplectron schleiermacheri;Polyplectron_schleiermacheri_280_BL;9 Protected Areas;0.09858;116.413727;Kalimantan;1996;5 months;species distribution;questionaire;950 questionaire in 97 ;;O’Brien et al 1998 Bird Conservation International 9: 373-385;
Bornean peacock pheasant;Polyplectron schleiermacheri;Polyplectron_schleiermacheri_280_BL;Gunung Lumut Protection Forest ;-2.3;116;Kalimantan;2005;34 days;species record;trail survey;;;Wielstra & Pieterse 2009 Kukila 14: 1-15;
Bornean peacock pheasant;Polyplectron schleiermacheri;Polyplectron_schleiermacheri_280_BL;Sungai Wain Protected Forest;-1.203038;116.863873;Kalimantan;1997 - 2003;44 months;species distribution;species encounter;19 encounters over 15.2 km trails and 3 transects of 7km each;mapped species presence;Fredriksson & Nijman 2004 Oryx 38: 297-303;
Bronze tailed peacock pheasant;Polyplectron chalcurum;Polyplectron_chalcurum_275_BL;;;;;;;;;;;;
Bulwer's pheasant;Lophura bulweri;Lophura_bulweri_261_BL;;;;;;;;;;;;
Chestnut bellied partridge;Arborophila javanica;Arborophila_javanica_216_BL;11 PAs;-7.6145;110.7122;Java;1994 to 2002;30 monts;species distribution;presence detection;;;Nijman 2003 Emu 103: 133-140;
Chestnut bellied partridge;Arborophila javanica;Arborophila_javanica_216_BL;14 PAs;-7.6145;110.7122;Java;1994;7 months;species record;;;;Nijman & Sozar 1997 Bird Conservation International 7: 27-33;
Chestnut breasted partridge;Arborophila mandellii;Arborophila_mandellii_212_BL;;;;;;;;;;;;
Chestnut headed partridge;Arborophila cambodiana;Arborophila_cambodiana_220_BL;Cardamon mountain (3 PAs);12;103.15;Cambodia;2015-2016;15 months;species density;line transects;30 transects, 1 to 4 km long, walked 12 time/transect;Distance;Chhin et al online Bird Conservation International;
Chestnut necklaced partridge;Tropicoperdix charltonii;Arborophila_charltonii_225_BL;;;;;;;;;;;;
